Country,HDI,latitude,longitude,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Gender Development Index value,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Median age (years) 2015,Dependency Ration Young age (0-14) /(per 100 people ages 15-64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15-64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0-5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people)","Deaths due to Tuberculosis (per 100,000 people)","HIV prevalence, adult (% ages 15-49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Working poor at PPP$3.10 a day (%) 2004-2013,Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users (% 2010 -2015),Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Child labour  (% ages 5-14) 2009-2015,Inequality in education(%),Inequality in income (%),Mandatory paid maternity leave (days)
Mauritius,0.781,-20.2912,57.58,74.6,9.1,17948,0.954,8.8,9.5,10540,25539,11.6,57.0,62.0,46.8,0.6,0.4,39.7,35.2,27.2,13.4,1.9,1.5,21.0,3,2,,11.8,13.5,95,194,,1.3,0.9,20.2,10.6,2.4,55.8,60.5,8.0,63.5,7.9,17.5,,17.1,6.1,100.0,45.3,14.3,9.8,0.758,,13.2,19.8,84
Trinidad and Tobago,0.780,10.47,-61.2584,70.5,10.9,28049,1.004,10.8,11.0,21104,35179,31.5,70.6,68.4,52.6,0.5,0.5,8.4,33.8,29.8,13.5,1.8,1.8,12.8,7,4,5.3,18.2,20.4,124,217,,2.0,1.2,18.2,11.8,3.2,60.5,62.9,,,3.8,9.6,52.5,15.6,,98.7,10.5,15.0,16.6,0.648,1,6.6,21.9,98
Costa Rica,0.776,9.61758,-83.6296,79.6,8.7,14006,0.969,8.7,8.7,9955,18052,33.3,54.5,53.8,46.8,1.6,1.1,76.8,31.4,32.4,12.9,2.2,1.9,32.5,9,5,5.6,8.5,9.7,61,114,0.0,0.8,0.3,23.6,11.1,6.8,56.3,61.6,12.7,68.2,8.6,21.1,17.8,20.7,1.7,55.8,124.9,18.2,8.2,0.842,4,12.4,34.1,120
Serbia,0.776,44.2026,20.9973,75.0,10.8,12202,0.969,10.3,11.4,9600,14932,34.0,82.3,91.6,43.4,-0.6,-0.5,55.6,40.6,24.5,25.6,1.7,1.6,12.8,3,14,6.0,5.9,6.7,79,152,,1.4,,19.1,21.1,6.4,41.7,51.5,21.3,52.9,19.0,45.2,19.5,28.6,0.4,46.1,-3.8,11.1,7.9,0.780,10,8.1,17.4,135
Cuba,0.775,21.5277,-77.951,79.6,11.8,7455,0.946,11.5,12.0,5013,9874,48.9,83.9,86.7,42.6,0.3,0.1,77.1,41.2,23.4,20.0,1.6,1.6,33.2,2,1,7.0,4.0,5.5,72,109,,0.3,0.3,23.1,67.2,10.6,53.9,55.6,18.6,64.2,3.0,6.5,,,5.6,,233.5,,5.5,0.866,,10.9,,
Iran,0.774,32.4252,54.0747,75.6,8.8,16395,0.862,8.5,9.1,5132,27499,3.1,66.8,70.2,16.2,1.3,1.3,73.4,29.5,33.1,7.1,2.0,1.7,53.1,1,1,6.8,13.4,15.5,64,105,0.0,3.5,0.1,19.4,8.9,2.8,39.9,44.5,17.9,48.3,10.5,24.1,34.3,40.5,3.7,26.4,28.6,31.5,10.6,0.764,11,37.3,46.6,270
Georgia,0.769,42.287,43.6358,75.0,12.2,8856,0.970,12.3,12.2,6105,11871,11.3,96.1,97.4,57.3,-1.2,-1.2,53.6,37.5,25.2,20.4,1.6,1.8,54.8,1,8,11.3,10.6,11.9,64,171,0.0,6.6,0.4,19.8,42.7,1.6,58.9,67.1,,,12.3,29.8,,59.8,15.2,89.8,42.3,12.2,10.3,0.759,18,2.2,24.1,183
Turkey,0.767,38.9574,35.4809,75.5,7.9,18705,0.908,7.0,8.8,10648,27035,14.9,43.5,64.8,30.4,1.4,1.7,73.4,29.8,38.4,11.3,2.4,2.1,30.1,3,6,9.5,11.6,13.5,73,142,0.0,0.6,,20.8,17.1,4.2,45.1,50.3,19.7,51.9,10.3,16.4,24.8,29.4,4.0,88.1,12.1,15.8,11.5,0.756,6,14.2,21.8,112
Venezuela,0.767,6.39181,-65.4057,74.4,9.4,15129,1.028,9.7,9.0,11579,18709,17.0,72.6,65.0,51.4,1.8,1.4,89.0,27.4,42.8,9.5,2.7,2.4,7.1,12,11,13.4,12.9,14.9,91,195,2.2,1.8,0.5,20.7,19.4,1.5,59.5,64.7,7.4,71.1,8.0,16.7,19.2,30.3,9.2,59.4,-3.1,19.1,11.4,0.741,8,17.6,28.4,182
Sri Lanka,0.766,7.87234,80.6663,75.0,10.9,10789,0.934,10.3,11.4,6067,15869,4.9,80.2,80.6,30.2,0.8,0.5,18.4,32.3,37.2,14.1,2.3,2.1,75.8,1,1,14.7,8.4,9.8,75,201,0.0,6.1,0.1,20.4,6.8,2.0,49.3,51.8,30.4,43.4,4.7,20.2,0.5,43.1,12.2,17.1,34.9,11.5,8.1,0.778,3,12.8,13.7,84
