Country,HDI,latitude,longitude,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Gender Development Index value,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Median age (years) 2015,Dependency Ration Young age (0-14) /(per 100 people ages 15-64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15-64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0-5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people)","Deaths due to Tuberculosis (per 100,000 people)","HIV prevalence, adult (% ages 15-49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Working poor at PPP$3.10 a day (%) 2004-2013,Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users (% 2010 -2015),Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Child labour  (% ages 5-14) 2009-2015,Inequality in education(%),Inequality in income (%),Mandatory paid maternity leave (days)
Jamaica,0.730,18.1345,-77.1838,75.8,9.6,8350,0.975,9.7,9.6,6628,10086,16.7,67.1,59.4,57.7,0.6,0.4,54.8,29.1,35.0,13.6,2.5,2.1,23.8,3,8,5.7,13.5,15.7,101,166,,0.3,1.6,22.2,4.1,2.8,56.0,64.8,18.2,66.5,13.7,32.7,28.8,37.5,7.8,55.5,-3.9,15.9,11.9,0.757,3,5.6,30.1,56
Colombia,0.727,4.1406,-72.5966,74.2,7.6,12762,1.004,7.6,7.5,10215,15389,20.9,50.3,59.6,57.9,1.4,1.0,76.4,30.0,35.4,10.2,2.3,1.9,42.8,9,9,12.7,13.6,15.9,90,192,0.9,1.5,0.5,21.4,14.7,5.4,61.7,68.6,16.3,64.1,10.0,20.5,22.0,47.9,9.2,23.0,20.9,23.7,14.4,0.714,10,17.4,39.4,98
Dominica,0.726,15.4437,-61.3475,77.9,7.9,10096,,,,,,21.9,,,,0.2,0.4,69.5,,,,,,,1,6,,19.6,21.2,,,,2.7,,,15.9,3.8,,,,,,,,,,38.5,-28.3,,,,,,,84
Suriname,0.725,3.93617,-56.1276,71.3,8.3,16018,0.972,8.2,8.5,10501,21512,25.5,57.7,56.8,40.5,0.5,0.9,66.0,29.0,40.4,10.4,2.7,2.4,2.8,9,15,8.8,19.0,21.3,121,222,1.2,2.1,1.1,18.5,9.1,2.9,50.2,54.5,3.2,72.9,7.8,18.6,,12.9,,,82,23.3,13.6,0.682,4,19.0,37.3,0
Tunisia,0.725,33.7716,8.881,75.0,7.1,10249,0.904,6.7,7.8,4662,15967,31.3,37.5,49.9,25.1,0.8,1.1,66.8,31.2,33.8,11.0,2.0,2.2,8.5,2,2,10.1,12.1,14.0,73,126,,2.0,0.1,19.5,12.2,4.0,40.6,47.7,14.8,51.5,14.8,34.5,25.4,21.6,4.6,68.8,24.3,21.9,12.2,0.743,2,34.6,18.9,30
Dominican Rep.,0.722,18.789,-70.1349,73.7,7.7,12756,0.990,7.9,7.5,9281,16256,19.1,57.2,55.5,52.3,1.5,1.2,79.0,26.1,47.3,10.5,2.8,2.5,4.7,9,12,7.1,25.7,30.9,121,205,0.1,3.9,1.0,21.7,14.9,2.9,55.9,65.3,14.5,41.9,14.4,29.8,21.3,41.7,7.8,11.1,-7,21.6,16.8,0.687,13,19.9,28.1,84
St. Vin. and Gren.,0.722,13.253,-61.2026,73.0,8.6,10372,,,,7600,13095,13.0,,,56.3,0.2,0.0,50.6,29.8,36.0,10.8,2.2,2.0,,1,1,,16.6,18.3,130,182,,1.0,,19.9,5.3,4.4,53.5,66.8,,,20.0,39.6,,8.0,,76.6,-14,,12.7,0.712,,,,91
Tonga,0.721,-21.1634,-175.283,73.0,11.1,5284,0.969,11.0,11.1,3959,6602,0.0,91.2,91.1,52.8,0.6,0.4,23.7,21.3,64.1,10.2,4.2,3.8,52.2,14,33,8.1,14.4,16.7,102,167,,2.1,,18.6,5.6,4.3,60.0,63.2,,,5.2,11.7,,,,1.0,25.8,,13.6,0.704,,,,0
Libya,0.716,26.3341,17.2306,71.8,7.3,14303,0.950,7.7,7.0,7163,21364,16.0,65.7,44.2,27.8,1.7,0.0,78.6,27.5,45.5,6.9,2.8,2.5,,4,7,21.0,11.4,13.4,99,173,,9.7,,18.2,19.0,3.7,42.2,53.2,,,20.6,50.0,,,,43.3,-13,,15.8,0.671,,,,98
Belize,0.706,17.2495,-88.7223,70.1,10.5,7375,0.967,10.5,10.5,5360,9402,13.3,77.9,77.4,56.3,2.7,2.2,44.0,23.5,50.9,5.9,3.4,2.6,14.7,4,5,19.3,14.2,16.5,132,224,0.0,1.8,1.5,17.0,8.3,3.9,61.6,69.8,,,11.8,22.0,27.9,23.5,,64.6,-22.3,21.8,11.6,0.681,3,15.9,37.9,98
Samoa,0.704,-13.6364,-172.427,73.7,10.3,5372,,,,3444,7182,6.1,77.8,70.4,23.1,0.6,0.8,19.1,21.2,64.9,9.1,4.4,4.2,51.3,1,9,,15.0,17.5,93,159,,3.4,,18.9,4.8,6.5,38.7,41.1,5.4,79.9,5.8,14.1,38.2,30.9,,49.5,21,,13.3,0.716,,,,28
Maldives,0.701,4.19929,73.5296,77.0,6.2,10383,0.937,6.2,6.3,7155,13591,5.9,34.3,30.9,57.3,1.7,1.8,45.5,26.4,40.5,6.9,2.6,2.2,47.8,1,1,20.3,7.4,8.6,59,83,,2.3,,19.5,14.2,10.8,59.9,68.0,14.6,67.0,11.8,27.9,56.4,18.8,13.0,99.7,36.2,23.4,7.1,0.814,,40.0,23.2,60
Uzbekistan,0.701,41.3702,63.3913,69.4,12.0,5748,0.946,11.8,12.3,3891,7668,16.4,99.9,99.9,48.3,1.1,1.5,36.4,26.3,42.7,7.0,2.5,2.5,26.4,1,1,19.6,33.9,39.1,133,238,,9.1,0.2,18.3,25.3,3.1,55.6,61.8,,,10.1,19.8,,,,98.1,-2.8,15.3,24.3,0.575,,1.4,20.1,126
Moldova,0.699,46.9989,28.8185,71.7,11.9,5026,1.010,12.0,11.8,4461,5637,21.8,95.2,97.3,38.8,-0.2,-0.1,45.0,35.6,21.2,13.4,1.2,1.3,36.4,6,10,6.4,13.6,15.8,101,244,,7.8,0.6,17.3,29.8,5.3,39.9,42.0,28.8,53.5,5.0,15.6,28.6,32.0,1.2,72.8,51.3,10.1,9.0,0.724,16,7.3,14.0,126
Botswana,0.698,-22.3453,24.4714,64.5,9.2,14663,0.984,9.2,9.5,13278,16050,9.5,85.1,86.7,73.4,1.4,2.0,57.4,24.2,49.7,5.6,3.2,2.9,20.3,2,3,31.4,34.8,43.6,262,346,0.4,28.0,22.2,17.1,3.4,3.2,63.0,77.4,26.4,56.1,18.6,29.4,,12.9,26.3,100.0,40.8,36.2,20.9,0.542,9,32.1,55.5,84
Gabon,0.697,-0.815422,11.7334,64.9,8.1,19044,0.923,7.3,9.0,15838,22177,16.0,62.3,45.9,39.9,2.2,2.2,87.2,21.4,64.3,8.8,4.4,4.0,6.0,23,39,17.5,36.1,50.8,246,245,67.4,55.0,3.8,18.3,2.9,2.4,38.8,48.8,,,20.5,36.3,,31.3,17.7,38.8,63.3,23.8,27.6,0.501,13,23.5,20.4,98
Paraguay,0.693,-23.438,-58.4732,73.0,8.1,8182,0.966,8.1,8.2,6138,10165,16.8,46.2,47.0,58.1,1.8,1.3,59.7,24.9,47.2,9.4,3.2,2.6,24.4,2,10,10.9,17.5,20.5,126,166,0.0,2.9,0.4,21.0,12.3,4.5,68.0,71.5,22.8,58.2,4.9,12.3,12.3,38.1,6.0,22.2,15,23.5,18.3,0.666,28,14.0,38.3,63
Egypt,0.691,26.7423,29.463,71.3,7.1,10064,0.884,6.4,7.9,4750,15267,2.2,54.5,68.2,22.8,1.8,2.2,43.1,24.7,53.8,8.5,3.2,3.4,39.7,4,7,22.3,20.3,24.0,113,189,,0.3,0.1,17.3,28.3,2.2,43.5,49.4,28.0,47.9,12.1,35.5,27.9,26.4,48.2,32.7,22.6,28.2,13.4,0.684,7,35.0,36.3,90
Turkmenistan,0.691,38.9602,59.0241,65.7,9.9,14026,,,,9359,18856,25.8,,,47.3,1.1,1.3,50.0,26.4,41.7,6.1,2.8,2.3,10.9,1,1,18.9,43.7,51.4,153,297,,3.4,,17.0,23.9,1.3,55.8,62.0,,,10.0,19.5,,,,,130.1,,26.0,0.521,,,,
Indonesia,0.689,0.0831973,113.339,69.1,7.9,10053,0.926,7.4,8.5,6668,13391,17.1,42.9,51.7,50.9,1.3,1.3,53.7,28.4,41.2,7.7,2.5,2.5,41.5,6,23,36.4,22.8,27.2,147,205,9.8,41.0,0.5,16.5,2.0,1.1,63.4,67.4,34.3,44.8,5.8,19.3,24.1,33.0,38.7,8.1,50.8,18.2,16.5,0.630,7,20.8,17.3,90
"Palestine, State of",0.684,31.9406,35.2625,73.1,8.9,5256,0.867,8.6,9.3,1766,8651,,56.3,61.2,17.8,2.1,2.8,75.3,19.3,70.8,5.2,5.0,4.3,38.6,1,1,7.4,18.0,21.1,98,143,,0.2,,18.5,8.4,,32.4,43.7,10.5,61.1,25.9,39.8,31.0,25.6,2.6,8.0,19.6,15.1,13.7,0.705,6,16.5,15.0,70
Viet Nam,0.683,15.9694,107.853,75.9,8.0,5335,1.010,7.9,8.2,4834,5846,24.3,64.0,76.7,73.8,1.0,1.1,33.6,30.4,32.9,9.6,1.9,2.0,24.3,5,3,19.4,17.3,21.7,68,186,0.2,18.0,0.5,22.4,11.9,3.8,76.7,78.3,46.8,32.0,2.1,5.3,9.3,62.6,14.6,34.5,4.3,17.8,14.2,0.738,16,17.6,21.4,180
Philippines,0.682,7.7046,125.217,68.3,9.3,8395,1.001,9.5,9.2,6845,9917,27.1,72.8,70.3,50.5,2.0,1.6,44.4,24.2,50.3,7.2,3.7,3.0,34.0,14,12,30.3,22.2,28.0,144,272,0.1,10.0,0.1,16.8,11.5,1.6,60.4,64.7,30.4,53.6,6.7,15.7,24.8,38.4,32.0,28.5,32.7,18.2,16.2,0.623,11,11.6,26.8,60
El Salvador,0.680,13.8041,-88.9113,73.3,6.5,7732,0.958,6.2,6.9,5386,10385,32.1,39.4,44.8,49.1,0.5,0.3,66.7,26.7,41.7,12.6,2.6,2.0,47.0,4,6,14.0,14.4,16.8,105,265,0.0,1.9,0.5,21.5,16.0,4.5,58.7,62.8,19.6,60.1,6.4,13.0,5.7,37.6,9.4,18.1,17.3,22.0,13.7,0.707,19,26.6,25.7,84
Bolivia,0.674,-16.2881,-64.2815,68.7,8.2,6155,0.934,7.6,8.8,4695,7610,51.8,49.6,58.7,63.9,1.8,1.6,68.5,24.1,53.1,10.6,3.8,3.0,64.3,2,5,18.1,30.6,38.4,156,219,0.1,3.1,0.3,21.1,4.7,4.6,70.5,73.1,,,3.6,7.1,,54.3,12.7,100.0,30.4,28.7,29.0,0.532,26,20.8,36.4,90
South Africa,0.666,-28.4746,26.1195,57.7,10.3,12087,0.962,10.2,10.5,8795,15489,41.2,73.7,76.2,46.2,1.5,1.1,64.8,25.7,44.5,7.7,2.8,2.4,8.3,27,30,23.9,33.6,40.5,419,464,2.2,44.0,19.2,16.1,7.8,4.2,39.7,53.0,4.6,71.9,25.1,50.0,31.3,9.3,16.6,92.6,62.7,32.0,25.7,0.430,,13.8,56.4,120
Kyrgyzstan,0.664,41.2247,75.0714,70.8,10.8,3097,0.967,10.9,10.7,2123,4090,19.2,100.0,99.9,49.4,0.6,1.7,35.7,25.1,48.8,6.6,2.5,3.1,41.1,4,4,12.9,19.0,21.3,111,251,0.0,11.0,0.2,17.7,19.7,3.6,57.7,62.9,31.7,48.1,8.2,14.6,21.2,41.6,15.4,100.0,34.3,12.1,13.6,0.675,26,5.0,17.7,126
Iraq,0.649,33.2143,42.4933,69.6,6.6,11608,0.804,5.4,7.8,3552,19467,26.5,35.8,55.5,15.1,2.7,3.3,69.5,19.3,73.2,5.5,4.7,4.6,19.6,23,43,22.6,26.5,32.0,132,198,,2.2,,17.5,6.1,3.3,35.3,42.4,,,16.9,35.1,,,29.7,56.0,24.9,22.0,19.3,0.616,5,30.6,16.1,72
Cabo Verde,0.648,17.054,-25.1887,73.5,4.8,6049,,,,4030,8123,20.8,,,53.2,1.6,1.2,65.5,24.5,45.1,7.0,3.2,2.4,59.6,1,7,,20.7,24.5,97,137,0.0,5.3,1.0,18.6,3.1,3.6,60.9,68.3,,,10.8,17.5,,,48.7,55.7,66.7,19.9,13.4,0.713,6,18.2,28.0,60
Morocco,0.647,28.6794,-9.90882,74.3,5.0,7195,0.826,3.8,6.4,3388,11091,15.7,25.7,33.2,25.3,1.0,1.4,60.2,28.0,40.9,9.3,2.5,2.6,27.8,1,1,14.9,23.7,27.6,87,106,,7.9,0.1,19.1,6.2,2.0,44.5,49.2,39.2,39.4,9.6,19.3,,50.7,13.1,39.8,25.5,28.3,16.0,0.702,8,45.8,23.0,98
Nicaragua,0.645,12.8448,-85.559,75.2,6.5,4747,0.961,6.8,6.4,3150,6389,41.3,45.7,44.1,49.1,1.4,1.2,58.8,25.2,46.3,7.8,2.8,2.3,31.7,1,1,23.0,18.8,22.1,106,194,0.1,3.4,0.3,22.3,9.0,5.1,60.4,64.2,32.2,51.3,6.0,9.7,,47.1,20.2,23.7,70.6,25.4,14.6,0.725,15,29.5,32.1,84
Guatemala,0.640,15.7761,-90.2899,72.1,6.3,7063,0.959,6.3,6.3,5132,9081,13.9,37.4,36.2,41.3,2.4,2.1,51.6,21.2,62.6,8.3,4.2,3.3,53.2,11,33,46.5,24.3,29.1,129,236,0.0,1.6,0.6,21.3,9.3,2.3,59.8,61.5,32.7,50.2,2.7,6.2,29.8,44.5,14.4,14.1,-11.5,29.1,17.0,0.665,26,36.2,34.1,84
Namibia,0.640,-22.9623,17.2315,65.1,6.7,9770,0.986,6.9,6.5,7971,11667,37.7,38.1,39.0,55.7,1.3,2.3,46.7,21.2,61.4,5.9,3.8,3.6,48.5,8,17,23.1,32.8,45.4,249,325,0.1,63.0,13.3,17.3,3.7,5.4,44.2,59.3,31.4,54.2,25.5,49.6,32.0,7.8,31.2,98.4,14.1,33.4,21.7,0.543,,25.0,53.6,84
Guyana,0.638,4.87628,-58.9469,66.5,8.4,6884,0.943,8.5,8.4,4346,9397,30.4,68.1,53.2,41.8,0.0,0.4,28.6,24.7,43.5,7.6,2.9,2.6,23.3,2,1,12.0,32.0,39.4,173,250,23.6,21.0,1.5,16.0,2.1,3.1,52.9,59.5,,,11.2,25.1,,,,100.0,-5.8,18.5,20.7,0.567,18,10.5,24.4,91
Micronesia,0.638,6.87965,158.248,69.3,9.7,3291,,,,,,0.0,,,,-0.2,0.2,22.4,21.5,55.3,7.1,4.1,3.3,60.0,2,9,,28.6,34.7,150,178,,16.0,,17.3,1.8,12.4,,,,,,,,,,,-100,,19.8,0.608,,,,
Tajikistan,0.627,38.8591,70.9305,69.6,10.4,2601,0.930,9.6,11.2,2100,3088,14.7,98.1,88.2,59.4,1.9,2.2,26.8,22.5,56.0,4.8,3.7,3.6,34.3,2,2,26.8,38.5,44.8,118,207,0.0,3.3,0.3,18.3,19.2,2.0,61.0,68.5,,,10.9,16.8,,47.1,21.6,80.2,26.6,14.9,23.2,0.586,10,6.5,15.0,140
Honduras,0.625,14.516,-87.2233,73.3,6.2,4466,0.942,6.2,6.1,2680,6254,25.8,33.4,31.1,47.2,1.9,1.5,54.7,23.4,50.1,7.7,3.6,2.5,31.2,14,12,22.7,17.4,20.4,122,174,0.1,1.0,0.4,22.1,3.7,4.4,63.1,65.6,35.8,45.4,3.9,7.1,41.4,53.3,28.2,8.4,-23.4,28.5,19.6,0.660,15,24.4,41.5,84
India,0.624,21.7849,80.2257,68.3,6.3,5663,0.819,4.8,8.2,2184,8897,12.2,35.3,61.4,26.8,1.7,1.3,32.7,26.6,43.9,8.6,3.1,2.5,46.4,10,17,38.7,37.9,47.7,145,217,4.1,17.0,,17.7,7.0,1.4,51.9,53.7,49.7,28.7,3.5,9.7,27.2,80.8,52.9,24.1,26.4,26.5,24.0,0.565,12,39.4,16.1,84
Bhutan,0.607,27.5115,90.3029,69.9,3.1,7081,0.900,2.1,4.2,5657,8308,8.3,5.8,13.4,58.7,2.9,1.5,38.6,26.7,39.5,7.4,3.1,2.1,51.4,1,3,33.6,27.2,32.9,216,210,0.0,9.5,,20.2,2.6,2.6,64.7,66.4,56.3,32.7,2.6,9.2,,53.1,10.9,3.2,58.4,28.4,20.7,0.608,3,44.8,19.6,56
Timor-Leste,0.605,-8.87347,125.767,68.5,4.4,5371,0.858,3.6,5.3,3124,7549,38.5,,,26.8,3.1,2.3,32.8,18.5,81.5,10.7,7.0,5.9,62.3,19,26,50.2,44.7,52.6,128,174,16.2,94.0,,16.9,0.7,1.3,39.3,41.3,50.6,39.8,5.0,15.7,,69.6,77.7,100.0,167.9,29.9,24.4,0.564,4,47.6,17.8,84
Vanuatu,0.597,-17.6702,168.353,72.1,6.8,2805,,,,2139,3453,0.0,,,61.6,2.5,2.3,26.1,22.2,61.6,7.1,4.1,3.4,72.6,25,47,28.5,23.1,27.5,108,156,3.7,7.9,,18.0,1.2,4.5,68.0,71.0,,,4.3,8.8,,70.0,,3.5,-7.9,17.1,15.4,0.678,15,17.5,18.5,84
Congo,0.592,-0.654843,16.0675,62.9,6.3,5503,0.932,5.5,6.7,4731,6274,11.5,45.0,50.0,67.1,2.4,2.6,65.4,18.7,79.4,6.8,5.1,5.0,32.9,5,20,21.2,33.2,45.0,247,286,103.8,46.0,,17.9,1.0,4.2,64.8,69.8,,,7.2,12.2,,75.1,46.3,22.1,23.5,24.6,31.1,0.455,23,21.5,21.2,105
Equatorial Guinea,0.592,1.62224,10.4794,57.9,5.5,21517,,4.0,7.3,17462,25375,19.7,,,71.3,3.3,3.0,39.9,20.5,67.9,5.0,5.6,5.0,7.4,35,56,26.2,68.2,94.1,286,326,69.3,6.6,4.9,16.8,3.0,2.9,74.3,82.0,,,9.4,15.3,,,20.4,,16.3,,38.4,0.359,28,,,84
Kiribati,0.588,1.87138,-157.38,66.2,7.8,2475,,,,,,8.7,,,,1.8,1.8,44.3,22.4,57.0,6.0,4.0,3.8,69.0,17,9,,43.6,55.9,159,240,,49.0,,16.8,3.8,8.3,,,22.1,61.8,,,,53.3,,,258.3,32.0,26.1,0.526,,21.4,48.4,84
Lao People's Democratic Republic,0.586,18.2055,104.684,66.6,5.2,5049,0.924,4.5,5.6,4408,5696,25.0,30.4,42.8,77.7,1.5,1.7,38.6,21.9,56.6,6.2,3.9,3.1,40.4,6,13,43.8,50.7,66.7,176,217,9.5,55.0,,16.6,1.8,0.9,76.1,77.4,71.3,20.2,1.6,4.0,,83.9,84.1,5.6,-15.2,26.9,26.2,0.529,10,34.1,20.3,105
Bangladesh,0.579,23.6884,89.8548,72.0,5.2,3341,0.927,5.0,5.6,2379,4285,20.0,42.0,44.3,43.1,1.7,1.2,34.3,25.6,44.9,7.6,2.9,2.2,55.3,3,11,36.1,30.7,37.6,107,152,13.9,51.0,0.1,18.7,3.6,0.8,59.4,62.2,47.5,35.3,4.4,11.6,40.3,57.8,86.1,39.5,85.5,28.6,20.1,0.639,4,37.3,28.3,112
Ghana,0.579,7.97652,-1.06834,61.5,6.9,3839,0.899,5.8,7.9,3200,4484,10.9,51.8,68.5,75.5,2.6,2.4,54.0,20.6,67.2,5.9,4.6,4.2,52.3,1,8,18.8,42.8,61.6,231,270,67.0,36.0,1.6,15.6,1.0,2.1,72.1,77.0,44.7,40.9,6.3,12.2,,76.8,44.1,7.6,80.5,32.5,30.8,0.442,22,34.9,31.7,84
Zambia,0.579,-13.1255,25.4152,60.8,6.9,3464,0.924,6.4,7.4,2803,4126,12.7,52.3,48.9,69.8,2.6,3.1,40.9,16.9,89.7,5.7,6.1,5.5,72.5,4,15,40.0,43.3,64.0,270,331,79.2,32.0,12.9,17.7,1.7,2.8,67.3,75.3,52.2,38.3,10.7,19.7,28.3,79.0,78.4,7.7,80.7,34.7,33.8,0.416,41,21.7,48.6,84
São Tomé and Principe,0.574,0.220364,6.60159,66.6,5.3,3070,0.907,4.7,5.9,2000,4149,18.2,30.8,44.8,45.3,2.2,2.2,65.1,18.5,78.5,5.7,5.1,4.7,73.8,2,8,17.2,34.6,47.3,165,219,42.5,7.3,,18.2,4.9,3.6,52.1,60.5,26.1,46.9,14.0,21.8,,,,41.8,12.9,24.7,26.9,0.524,26,21.4,25.8,90
Cambodia,0.563,12.5395,105.11,68.8,4.7,3095,0.892,3.7,5.5,2650,3563,19.0,13.2,26.1,75.5,1.8,1.6,20.7,23.9,49.2,6.4,3.4,2.7,65.2,1,6,32.4,24.6,28.7,145,210,3.7,58.0,0.6,17.1,1.7,1.3,80.5,80.9,54.1,29.6,0.5,0.8,7.8,64.1,71.8,5.0,134.4,22.4,19.7,0.603,19,27.3,20.3,90
Nepal,0.558,28.3766,83.1031,70.0,4.1,2337,0.925,3.2,5.0,1979,2718,29.5,24.1,41.2,79.7,1.4,1.2,18.6,23.1,52.9,9.0,3.6,2.3,56.9,6,12,37.4,29.4,35.8,139,177,0.2,17.0,0.2,17.3,2.1,2.3,80.5,83.0,66.5,22.4,3.1,5.1,9.2,,43.9,62.5,182.5,25.8,19.6,0.618,37,43.9,13.9,52
Myanmar,0.556,19.2523,95.9132,66.1,4.7,4943,,4.9,4.9,4182,5740,13.0,27.1,20.0,75.1,0.9,0.8,34.1,27.9,41.1,8.0,2.9,2.3,23.6,10,14,35.1,39.5,50.0,173,229,11.3,53.0,0.8,16.7,6.1,1.0,74.3,78.0,,,4.7,12.1,,,82.6,,6603.2,,26.0,0.525,,19.4,,98
Kenya,0.555,0.207844,37.4713,62.2,6.3,2881,0.919,5.7,7.0,2357,3405,20.8,27.8,34.1,62.1,2.6,2.7,25.6,18.9,75.8,5.1,5.0,4.4,61.4,12,21,26.0,35.5,49.4,251,296,49.6,21.0,5.9,17.8,2.0,3.5,60.9,67.1,,,9.2,17.6,,,,7.9,32.2,29.4,32.1,0.440,26,22.9,33.1,90
Pakistan,0.550,30.3838,70.0966,66.4,5.1,5031,0.742,3.7,6.5,1498,8376,20.0,26.5,46.1,24.3,2.1,2.1,38.8,22.5,57.9,7.4,4.2,3.7,37.7,21,37,45.0,65.8,81.1,143,179,1.8,26.0,0.1,17.8,8.3,0.9,51.0,53.9,43.5,34.0,5.4,10.7,,63.1,37.1,2.3,16.8,29.6,32.8,0.479,,44.4,11.6,84
Swaziland,0.541,-26.5413,31.448,48.9,6.8,7522,0.853,6.4,7.2,5078,10020,14.7,27.3,30.5,40.0,0.8,1.5,21.3,20.5,63.2,6.1,4.0,3.4,63.8,1,14,25.5,44.5,60.7,612,576,1.2,51.0,28.8,16.3,1.7,7.0,38.6,51.8,,,25.6,53.0,,,22.9,86.0,20.3,33.1,35.0,0.289,7,26.8,37.6,14
Syrian Arab Republic,0.536,34.8587,38.5506,69.7,5.1,2441,0.851,4.6,5.6,835,4007,12.4,34.8,43.4,12.2,2.1,-2.3,57.7,20.8,63.1,6.9,3.7,3.0,42.6,35,46,27.5,11.1,12.9,86,283,,0.1,,18.7,14.6,1.5,36.5,41.7,13.2,55.3,12.3,28.5,,32.9,34.8,16.7,15,21.4,14.5,0.653,4,31.5,18.3,120
Angola,0.533,-11.9645,18.852,52.7,5.0,6291,,,,5073,7527,36.8,,,59.9,3.5,3.3,44.1,16.1,95.2,4.6,6.8,6.2,,1,15,29.2,96.0,156.9,321,369,100.9,52.0,2.2,15.7,1.7,2.1,63.2,68.4,,,7.6,12.0,,,49.9,14.5,26.5,36.6,46.2,0.271,24,34.6,28.9,90
Tanzania,0.531,-6.39271,34.2394,65.5,5.8,2467,0.937,5.4,6.2,2359,2576,36.0,10.1,15.3,74.0,2.8,3.2,31.6,17.3,87.6,6.2,5.7,5.2,41.1,1,1,34.7,35.2,48.7,243,281,50.5,58.0,4.7,18.5,0.3,2.6,76.0,78.6,66.9,26.6,3.2,6.3,31.8,74.0,72.6,3.2,62.6,25.4,25.0,0.525,29,28.5,22.7,84
Nigeria,0.527,9.06941,7.91932,53.1,6.0,5443,0.847,4.9,7.1,4132,6706,5.8,,,48.4,2.6,2.7,47.8,17.9,82.6,5.1,6.1,5.7,17.4,25,49,32.9,69.4,108.8,346,379,106.6,97.0,3.1,13.7,4.0,0.9,53.1,56.3,,,5.8,8.6,,,72.3,,50.4,37.5,40.8,0.301,25,43.3,28.4,84
Cameroon,0.518,7.34544,13.5804,56.0,6.1,2894,0.853,4.6,7.4,2340,3448,27.1,31.7,37.9,71.0,2.6,2.5,54.4,18.5,78.4,5.9,5.5,4.8,28.2,7,20,31.7,57.1,87.9,345,370,64.7,31.0,4.5,16.5,0.8,0.9,72.5,76.0,,,4.6,7.0,10.8,73.6,48.1,12.5,71.6,32.4,39.4,0.335,47,34.8,23.1,98
Papua New Guinea,0.516,-6.63639,144.358,62.8,4.3,2712,,3.7,5.3,2362,3047,2.7,8.8,14.7,69.6,2.5,2.1,13.0,21.2,62.1,5.0,4.4,3.8,56.1,13,35,49.5,44.5,57.3,237,313,40.3,40.0,0.8,14.9,0.6,3.5,68.1,70.3,,,3.1,6.7,,,66.5,0.9,67.6,,26.5,0.484,,11.5,,0
Zimbabwe,0.516,-19.0093,29.3309,59.2,7.7,1588,0.927,7.3,8.2,1360,1822,35.1,51.9,64.7,77.8,0.8,2.2,32.4,18.9,75.0,5.3,4.0,4.0,41.0,2,8,27.6,46.6,70.7,382,413,18.4,15.0,14.7,17.5,0.8,2.5,74.7,82.4,65.8,25.0,9.3,15.4,,65.5,82.9,6.2,44,28.1,31.2,0.415,,17.4,35.8,98
Solomon Islands,0.515,-9.60495,160.154,68.1,5.3,1561,,,,1061,2045,2.0,,,61.1,2.6,2.1,22.3,19.9,69.1,5.9,4.6,4.1,73.7,5,7,32.8,23.6,28.1,157,198,5.5,13.0,,16.9,2.2,4.6,43.9,67.4,,,34.8,51.5,,,52.6,13.1,231.2,23.8,22.3,0.575,,22.8,26.3,84
Mauritania,0.513,20.9781,-11.4724,63.2,4.3,3527,0.818,3.3,5.4,1608,5422,22.2,11.1,23.5,29.1,3.0,2.5,59.9,19.8,70.5,5.7,5.3,4.7,26.9,12,16,22.0,65.1,84.7,183,228,67.2,22.0,0.6,16.5,0.7,1.9,32.5,47.2,,,31.1,47.3,,,17.6,9.3,16.1,31.9,33.7,0.441,15,40.8,21.2,98
Madagascar,0.512,-18.7304,46.7264,65.5,6.1,1320,0.948,6.7,6.1,1091,1549,20.5,,,83.8,3.0,2.8,35.1,18.7,75.2,5.1,5.3,4.5,41.9,17,36,49.2,35.9,49.6,199,248,41.4,51.0,0.4,16.9,1.6,1.5,84.6,86.4,75.3,16.9,2.2,3.6,5.0,86.0,90.0,4.6,25.8,26.8,24.8,0.527,23,35.0,20.4,98
