long,lat,group,order,region,subregion,Cases,Incidence_avg,Incidence_alt,PopulationAvg,n_tower,Cent_lon,Cent_lat
-73.7854995727539,42.4676284790039,1,1,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.2553329467773,42.4103355407715,1,2,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.2553329467773,42.4103355407715,1,3,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.2725219726563,42.4160652160645,1,4,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.2496032714844,42.4676284790039,1,5,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.2266845703125,42.507740020752,1,6,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.2324142456055,42.5650367736816,1,7,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.2094955444336,42.5879554748535,1,8,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.1922988891602,42.6223297119141,1,9,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.1693878173828,42.6738967895508,1,10,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.1636581420899,42.7025451660156,1,11,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-74.1751174926758,42.7311935424805,1,12,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-73.8198852539063,42.7827568054199,1,13,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
-73.7854995727539,42.7942199707031,1,14,new york,albany,56,3.65200965138583,3.64893825670672,306938.6,308,-73.9744248047367,42.6041573751843
