xlabel,.id,DISEASE,ventile,ventile_lab,n
Pneumonia,2005-2009,Legionnaires,3,3050,90
Pneumonia,2005-2009,Legionnaires,4,3580,67
Pneumonia,2005-2009,Legionnaires,5,4060,73
Pneumonia,2005-2009,Legionnaires,6,4510,70
Pneumonia,2005-2009,Legionnaires,7,4880,94
Pneumonia,2005-2009,Legionnaires,8,5150,95
Pneumonia,2005-2009,Legionnaires,9,5390,111
Pneumonia,2005-2009,Legionnaires,10,5590,110
Pneumonia,2005-2009,Legionnaires,11,5820,131
Pneumonia,2005-2009,Legionnaires,12,6070,104
Pneumonia,2005-2009,Legionnaires,13,6270,85
Pneumonia,2005-2009,Legionnaires,14,6470,89
Pneumonia,2005-2009,Legionnaires,15,6670,91
Pneumonia,2005-2009,Legionnaires,16,6850,95
Pneumonia,2005-2009,Legionnaires,17,7100,85
Pneumonia,2005-2009,Legionnaires,18,7430,86
Pneumonia,2005-2009,Legionnaires,19,7950,74
Pneumonia,2005-2009,Legionnaires,20,11100,55
Pneumonia,2010-2014,Legionnaires,1,1950,61
Pneumonia,2010-2014,Legionnaires,2,2680,92
Pneumonia,2010-2014,Legionnaires,3,3190,112
Pneumonia,2010-2014,Legionnaires,4,3730,86
Pneumonia,2010-2014,Legionnaires,5,4160,122
Pneumonia,2010-2014,Legionnaires,6,4600,125
Pneumonia,2010-2014,Legionnaires,7,4960,103
Pneumonia,2010-2014,Legionnaires,8,5230,121
Pneumonia,2010-2014,Legionnaires,9,5450,110
Pneumonia,2010-2014,Legionnaires,10,5660,127
Pneumonia,2010-2014,Legionnaires,11,5870,123
Pneumonia,2010-2014,Legionnaires,12,6070,103
Pneumonia,2010-2014,Legionnaires,13,6280,118
Pneumonia,2010-2014,Legionnaires,14,6460,120
Pneumonia,2010-2014,Legionnaires,15,6670,119
Pneumonia,2010-2014,Legionnaires,16,6860,150
Pneumonia,2010-2014,Legionnaires,17,7080,127
Pneumonia,2010-2014,Legionnaires,18,7370,99
Pneumonia,2010-2014,Legionnaires,19,7860,97
Pneumonia,2010-2014,Legionnaires,20,11000,79
Pneumonia,2015-2019,Legionnaires,1,2110,126
Pneumonia,2015-2019,Legionnaires,2,2840,200
Pneumonia,2015-2019,Legionnaires,3,3380,185
Pneumonia,2015-2019,Legionnaires,4,3930,156
Pneumonia,2015-2019,Legionnaires,5,4380,213
