xlabel,.id,DISEASE,centile,centile_lab,n
Pneumonia,2005-2009,Legionnaires,5,383,105
Pneumonia,2005-2009,Legionnaires,6,468,87
Pneumonia,2005-2009,Legionnaires,7,555,81
Pneumonia,2005-2009,Legionnaires,8,651,88
Pneumonia,2005-2009,Legionnaires,9,757,105
Pneumonia,2005-2009,Legionnaires,10,893,110
Pneumonia,2005-2009,Legionnaires,11,1040,86
Pneumonia,2005-2009,Legionnaires,12,1230,91
Pneumonia,2005-2009,Legionnaires,13,1440,88
Pneumonia,2005-2009,Legionnaires,14,1790,100
Pneumonia,2005-2009,Legionnaires,15,2320,110
Pneumonia,2005-2009,Legionnaires,16,3210,72
Pneumonia,2005-2009,Legionnaires,17,4720,55
Pneumonia,2005-2009,Legionnaires,18,7220,62
Pneumonia,2005-2009,Legionnaires,19,11200,59
Pneumonia,2005-2009,Legionnaires,20,55700,52
Pneumonia,2010-2014,Legionnaires,1,100,206
Pneumonia,2010-2014,Legionnaires,2,175,129
Pneumonia,2010-2014,Legionnaires,3,251,143
Pneumonia,2010-2014,Legionnaires,4,325,122
Pneumonia,2010-2014,Legionnaires,5,399,115
Pneumonia,2010-2014,Legionnaires,6,478,127
Pneumonia,2010-2014,Legionnaires,7,562,101
Pneumonia,2010-2014,Legionnaires,8,649,105
Pneumonia,2010-2014,Legionnaires,9,750,127
Pneumonia,2010-2014,Legionnaires,10,875,116
Pneumonia,2010-2014,Legionnaires,11,1010,117
Pneumonia,2010-2014,Legionnaires,12,1190,113
Pneumonia,2010-2014,Legionnaires,13,1410,147
Pneumonia,2010-2014,Legionnaires,14,1730,126
Pneumonia,2010-2014,Legionnaires,15,2220,121
Pneumonia,2010-2014,Legionnaires,16,3030,82
Pneumonia,2010-2014,Legionnaires,17,4450,90
Pneumonia,2010-2014,Legionnaires,18,6900,67
Pneumonia,2010-2014,Legionnaires,19,10900,57
Pneumonia,2010-2014,Legionnaires,20,48200,57
Pneumonia,2015-2019,Legionnaires,1,82.1,283
Pneumonia,2015-2019,Legionnaires,2,157,305
Pneumonia,2015-2019,Legionnaires,3,230,309
Pneumonia,2015-2019,Legionnaires,4,289,225
Pneumonia,2015-2019,Legionnaires,5,360,248
Pneumonia,2015-2019,Legionnaires,6,436,222
Pneumonia,2015-2019,Legionnaires,7,513,235
Pneumonia,2015-2019,Legionnaires,8,600,231
Pneumonia,2015-2019,Legionnaires,9,694,233
Pneumonia,2015-2019,Legionnaires,10,805,193
Pneumonia,2015-2019,Legionnaires,11,942,207
Pneumonia,2015-2019,Legionnaires,12,1100,182
Pneumonia,2015-2019,Legionnaires,13,1300,225
Pneumonia,2015-2019,Legionnaires,14,1550,185
Pneumonia,2015-2019,Legionnaires,15,1910,190
Pneumonia,2015-2019,Legionnaires,16,2550,218
Pneumonia,2015-2019,Legionnaires,17,3760,143
Pneumonia,2015-2019,Legionnaires,18,6070,139
Pneumonia,2015-2019,Legionnaires,19,9990,111
Pneumonia,2015-2019,Legionnaires,20,55700,103
Heart,2000-2004,Legionnaires,1,93.9,45
Heart,2000-2004,Legionnaires,2,165,42
Heart,2000-2004,Legionnaires,3,230,33
Heart,2000-2004,Legionnaires,4,294,27
Heart,2000-2004,Legionnaires,5,364,42
Heart,2000-2004,Legionnaires,6,433,23
Heart,2000-2004,Legionnaires,7,509,32
Heart,2000-2004,Legionnaires,8,591,44
Heart,2000-2004,Legionnaires,9,683,49
Heart,2000-2004,Legionnaires,10,784,34
Heart,2000-2004,Legionnaires,11,904,28
Heart,2000-2004,Legionnaires,12,1040,41
Heart,2000-2004,Legionnaires,13,1220,38
Heart,2000-2004,Legionnaires,14,1420,41
Heart,2000-2004,Legionnaires,15,1700,38
Heart,2000-2004,Legionnaires,16,2090,22
Heart,2000-2004,Legionnaires,17,2830,53
Heart,2000-2004,Legionnaires,18,4400,29
Heart,2000-2004,Legionnaires,19,8240,31
Heart,2000-2004,Legionnaires,20,60100,35
Heart,2005-2009,Legionnaires,1,91.3,116
Heart,2005-2009,Legionnaires,2,158,104
Heart,2005-2009,Legionnaires,3,219,63
Heart,2005-2009,Legionnaires,4,275,88
Heart,2005-2009,Legionnaires,5,340,79
Heart,2005-2009,Legionnaires,6,407,85
Heart,2005-2009,Legionnaires,7,476,68
Heart,2005-2009,Legionnaires,8,553,73
Heart,2005-2009,Legionnaires,9,634,70
Heart,2005-2009,Legionnaires,10,731,104
Heart,2005-2009,Legionnaires,11,844,99
Heart,2005-2009,Legionnaires,12,976,70
Heart,2005-2009,Legionnaires,13,1150,96
Heart,2005-2009,Legionnaires,14,1340,89
Heart,2005-2009,Legionnaires,15,1600,94
Heart,2005-2009,Legionnaires,16,1970,86
Heart,2005-2009,Legionnaires,17,2620,103
Heart,2005-2009,Legionnaires,18,4060,76
Heart,2005-2009,Legionnaires,19,7750,84
Heart,2005-2009,Legionnaires,20,60100,107
Heart,2010-2014,Legionnaires,1,85,179
Heart,2010-2014,Legionnaires,2,150,111
Heart,2010-2014,Legionnaires,3,209,96
Heart,2010-2014,Legionnaires,4,265,110
Heart,2010-2014,Legionnaires,5,325,106
Heart,2010-2014,Legionnaires,6,388,93
Heart,2010-2014,Legionnaires,7,451,105
Heart,2010-2014,Legionnaires,8,524,103
Heart,2010-2014,Legionnaires,9,605,98
Heart,2010-2014,Legionnaires,10,695,98
Heart,2010-2014,Legionnaires,11,800,133
Heart,2010-2014,Legionnaires,12,928,95
Heart,2010-2014,Legionnaires,13,1090,122
Heart,2010-2014,Legionnaires,14,1280,125
Heart,2010-2014,Legionnaires,15,1510,129
Heart,2010-2014,Legionnaires,16,1860,133
Heart,2010-2014,Legionnaires,17,2410,105
Heart,2010-2014,Legionnaires,18,3620,105
Heart,2010-2014,Legionnaires,19,7130,114
Heart,2010-2014,Legionnaires,20,55800,108
Heart,2015-2019,Legionnaires,1,97,335
Heart,2015-2019,Legionnaires,2,165,283
Heart,2015-2019,Legionnaires,3,225,256
Heart,2015-2019,Legionnaires,4,279,205
Heart,2015-2019,Legionnaires,5,346,230
Heart,2015-2019,Legionnaires,6,412,214
Heart,2015-2019,Legionnaires,7,478,184
Heart,2015-2019,Legionnaires,8,556,221
Heart,2015-2019,Legionnaires,9,637,223
Heart,2015-2019,Legionnaires,10,742,234
Heart,2015-2019,Legionnaires,11,862,184
Heart,2015-2019,Legionnaires,12,990,176
Heart,2015-2019,Legionnaires,13,1160,200
Heart,2015-2019,Legionnaires,14,1360,199
Heart,2015-2019,Legionnaires,15,1580,160
Heart,2015-2019,Legionnaires,16,1930,176
Heart,2015-2019,Legionnaires,17,2480,188
Heart,2015-2019,Legionnaires,18,3720,161
Heart,2015-2019,Legionnaires,19,7180,182
Heart,2015-2019,Legionnaires,20,55700,176
